Protein1,Protein2
P76155,P77163
Q2EES0,A5A607
P76156,P77598
P76156,P75988
P77695,P0AC92
P0A986,P0A972
P0A986,P0A968
P0A986,P0A978
P0A986,P36995
P0A986,P0A9Y6
P0A986,P0A9X9
P76159,P78285
P77237,P0A9R2
P36995,P0A972
P36995,P0A968
P36995,P0A978
P36995,P0A986
P36995,P0A9Y6
P36995,P0A9X9
P0A976,P0A982
P0ACG6,P0ACG4
P0ACG6,P33236
P0ACW8,P0ACW0
P38105,P75691
P38105,P25437
P38105,P77316
P38105,P39451
P38105,P77280
P38105,P77539
P38105,P0A9S3
P38105,P77360
P38105,P07913
P38105,P28304
P38105,P39346
P38105,P39400
P38104,P51981
P38104,P77215
P38104,Q6BF17
P77374,P18775
P77374,P33225
P77374,P77783
P77374,P46923
P77374,P33937
P77374,P20099
P77374,P07658
P77783,P18775
P77783,P33225
P77783,P77374
P77783,P46923
P77783,P33937
P77783,P20099
P77783,P07658
P0AAJ1,P18776
P0AAJ1,P77375
P0AAJ1,P0AAL6
P0AAJ1,P23481
P0AAJ1,P0AAK4
P0AAJ1,P0AAK1
P0AAJ1,Q46819
P0AAJ1,P56256
P0AAJ1,P0AAK7
P76173,P18777
P69853,P75915
P76175,P37019
P0A6E9,P13000
P50456,P23917
P50456,P0AF20
P50456,P75959
P50456,P76586
P50456,P45425
P77559,P27111
P77559,P0ACR0
P77559,P52696
P77559,P0A9F3
P77559,P77171
P77559,P77309
P77559,Q47083
P77559,Q47005
P77559,P0ACR4
P77559,P23841
P77559,P0ACR7
P77559,Q47141
P77559,P33634
P77559,P03030
P77559,P0ACQ7
P77559,P05827
P77559,P0A9F9
P77559,P0ACQ4
P43531,P23910
P43531,P25744
P43531,P77389
P43531,P0ADL1
P43531,P31442
P43531,P31462
P43531,P39386
P43531,P39398
P69210,P23895
P69210,P69212
P69210,P69937
P69212,P23895
P69212,P69210
P69212,P69937
P0AFS5,P0AFS7
P0AFS5,P0AFI9
P0AFS5,P0AGM0
P0AAE5,P15993
P0AAE5,Q47689
P0AAE5,P77400
P0AAE5,P24207
P0AAE5,P0AAF1
P0AAE5,P25737
P0AAE5,P25527
P0AAE5,P45539
P0AAE5,P60061
P0AAE5,P0AAE8
P0AAE5,P39277
P0AAE5,P0AAE0
P52108,P0AFJ5
P52108,P0ACZ8
P52108,P21866
P52108,P38684
P52108,P23836
P52108,P76340
P52108,P69228
P52108,P52076
P52108,P0AA16
P52108,P0AE88
P52108,P30843
P52108,P08368
P52108,P0A9Q1
P18392,P77485
P18392,P30847
P18392,P40719
P18392,P0AE82
P05042,P0AC38
P0AC33,P14407
P77804,P32128
P0CE44,P75683
P0CE44,P31435
P0CE44,P32136
P0CE44,P32137
P0CE44,P02921
P0AET8,P0AFP4
P0AET8,P15047
P0AET8,P0AEK2
P0AET8,P31808
P0AET8,P0AEK4
P0AET8,P39831
P0AET8,P33368
P0AET8,P37440
P0AET8,P0CI31
P0AET8,P05707
P0AET8,P76633
P0AET8,P37769
P0AET8,P52037
P0AET8,P0AG84
P0AET8,P39333
P0AET8,P0A9P9
P18811,P0ACP1
P18811,P03023
P18811,P77615
P18811,P0ACP7
P18811,P25748
P18811,P24242
P18811,P03024
P18811,P06846
P18811,P0ACP5
P18811,P0ACQ0
P18811,P0ACN7
P18811,P36673
P18811,P39343
P19642,P09323
P19642,P69786
P23256,P77806
P23256,P0A959
P77376,P46853
P0A766,P77179
P77179,P0A766
P77304,P75742
P77304,P36837
P77304,P39276
P0A9D2,P0ACA7
P0A9D2,P76117
P77150,P40191
P0A8W2,P27245
P76185,P75777
P76185,P52599
P76185,P27303
P76185,P46482
P76185,P32716
P76186,P46481
P76187,P77735
P76187,P0A9T4
P67430,P75952
P0AGD3,P00448
P77389,P77589
P77389,P23910
P77389,P31122
P77389,P43531
P77389,P0ADL1
P0ACP7,P0ACP1
P0ACP7,P03023
P0ACP7,P77615
P0ACP7,P18811
P0ACP7,P25748
P0ACP7,P24242
P0ACP7,P03024
P0ACP7,P06846
P0ACP7,P0ACP5
P0ACP7,P0ACQ0
P0ACP7,P0ACN7
P0ACP7,P36673
P0ACP7,P39343
P0ACR2,P77700
P0ACR2,P0ACR0
P0ACR2,P76369
P0ACR2,P67660
P37597,P0AEY8
P37597,P28246
P37597,P31442
P37597,P31462
P37597,P39386
P37340,P76352
P37340,P28303
P77375,P18776
P77375,P0AAJ1
P77375,P0AAL6
P77375,P23481
P77375,P0AAK4
P77375,Q46819
P77375,P56256
P77375,P0AAK7
P0AAL6,P18776
P0AAL6,P0AAJ1
P0AAL6,P77375
P0AAL6,P0AAK4
P0AAL6,P0AAK1
P0AAL6,Q46819
P0AAL6,P56256
P0AAL6,P0AAK7
P0AD61,P21599
P69776,P65298
P76193,P0AAX8
P76193,P75954
P76193,P39176
P76194,P0AGF2
P77444,Q46925
P77499,P0A9S7
P77667,P0ACC3
P77667,P0AAC8
P77781,P0A8Y8
P0AFS7,P0AFS5
P76197,P76198
P76197,P60778
P76198,P76197
P76198,P60778
P0A6D5,P15770
P0A9U8,P60584
P77402,P0A9E0
P77402,P17410
P77402,P09377
P77402,P0ACH8
P76201,P60566
P77378,P31574
P77378,Q46907
P77337,P68644
P77337,Q46904
P77714,P68646
P77714,Q46905
P38135,P31552
P38135,P77495
P38135,P10378
P38135,P69451
P38135,P37353
P38135,P27550
P00887,P0AB91
P00887,P00888
P23898,P0AFV4
P06611,P31548
P06611,P07821
P06611,Q47538
P06611,P0A9T8
P06611,P23878
P06611,P0AAG3
P06611,P0AAF6
P06611,P0AAI1
P06611,P75957
P06611,P77622
P06611,P77268
P06611,P0A9X1
P06611,P33360
P06611,P33931
P06611,P63386
P06611,P0A9V1
P06611,P22731
P06611,P0A9S7
P06611,P0A9R7
P06611,P33594
P06611,P16678
P06611,P16677
P06611,P15031
P06609,P23877
P06609,P23876
P06609,P15029
P06609,P15030
P0A6X7,P0ACF4
P0A6X7,P0A6Y1
P0A6X7,P0ACF0
P06999,P0AEW9
P77247,P77366
P77247,P77625
P77247,P77475
P77247,P32662
P77247,P31467
P77529,P0AGE4
P77529,P0A830
P77529,P21345
P17411,P06720
P17410,P77402
P76217,P17445
P76217,P23883
P76217,P80668
P76217,P25553
P76217,P77674
P76217,P76149
P76217,P25526
P76217,P37685
P77581,P23893
P77581,P12995
P77581,P50457
P77581,P22256
P77581,P42588
P77581,P18335
P76219,P76221
P76221,P76219
P76224,P31549
P76909,P31548
P76909,P07821
P76909,Q47538
P76909,P77279
P76909,P0A9T8
P76909,P23878
P76909,P0AAG3
P76909,P10346
P76909,P0AAF6
P76909,P0AAI1
P76909,P75957
P76909,P0AAH8
P76909,P0A9X1
P76909,P37774
P76909,P33360
P76909,P07109
P76909,P63386
P76909,P0A9V1
P76909,P45769
P76909,P22731
P76909,P0A9S7
P76909,P0A9R7
P76909,P33594
P76909,P0AAH0
P76909,P16679
P76909,P16678
P76909,P16677
P76909,P15031
P78067,P31142
P77788,P08337
P14294,P06612
P0A962,P00805
P21369,P75897
P38055,P31679
P38055,P77589
P38055,P76230
P38055,P76350
P38055,Q46909
P38055,P0AE24
P38055,P0AEP1
P38055,P41036
P38055,P37643
P38055,P0AGF4
P38055,P0C0L7
P38055,P39352
P77721,P0ACK5
P77721,P76034
P77721,P15082
P77721,P52598
P77721,P0ACK8
P77721,P0ACK2
P77721,P32144
P77721,P0A9W0
P77721,P39361
P77256,P30863
P77256,P77735
P77256,P25906
P77256,P76234
P77256,P0A9T4
P77256,Q46851
P77256,Q46857
P77493,P33020
P77493,P45543
P77493,P37647
P77493,P0A9J6
P77493,P32143
P77704,P0C8J6
P77704,P0AB71
P77704,P0AB74
P77280,P75691
P77280,P25437
P77280,P77316
P77280,P39451
P77280,P38105
P77280,P77539
P77280,P0A9S3
P77280,P77360
P77280,P07913
P77280,P28304
P77280,P39346
P77280,P39400
P76230,P31679
P76230,P77589
P76230,P38055
P76230,P76350
P76230,Q46909
P76230,P0AE24
P76230,P0AEP1
P76230,P41036
P76230,P0AGF4
P76230,P0C0L7
P76230,P39352
P77539,P75691
P77539,P25437
P77539,P77316
P77539,P39451
P77539,P38105
P77539,P77280
P77539,P0A9S3
P77539,P77360
P77539,P07913
P77539,P39346
P77539,P27250
P77539,P39400
P0A9B2,P0A9B6
P76234,P30863
P76234,P77735
P76234,P25906
P76234,P77256
P76234,P0A9T4
P76234,Q46851
P76234,Q46857
P0A908,P37681
P76236,P75908
P76242,P17583
P76242,P77589
P64485,P76011
P76249,P75693
P76249,P0AG38
P76249,P0AG34
P76250,P30864
P76250,Q57083
P76250,P75836
P76250,P77333
P76250,P0A9F6
P76250,P45463
P76250,P67662
P76250,P37641
P76251,P30125
P76251,P08200
P0ABD1,P31553
P0ABD1,P0ABC9
P76254,P75824
P76254,P76081
P69451,P31552
P69451,P77495
P69451,P10378
P69451,P38135
P69451,P37353
P69451,P31119
P69451,P27550
P0AA91,P37194
P76257,P27296
P05041,P00895
P16095,P30744
P16095,P42630
P76261,P76446
P0AEC0,P76389
P69801,P42910
P69805,P42911
P0A9Y6,P0A972
P0A9Y6,P0A968
P0A9Y6,P0A978
P0A9Y6,P0A986
P0A9Y6,P36995
P0A9Y6,P0A9X9
P76268,P77300
P76268,P77569
P76268,P0ACN4
P76268,P77732
P76268,P37671
P76268,P16528
P76268,P39360
P76269,P77726
P76269,P36554
P76269,P52600
P76269,P0AEJ0
P76269,P31462
P76269,P31474
P0AD03,P0AFL9
P76273,P36929
P55798,P55799
P33221,P09029
P0A955,Q6BF16
P0ADF6,P77596
P0ADF6,P05791
P0ADF6,P39358
P46118,P77245
P46118,P37767
P46118,P0ACS7
P21599,P0AD61
P24205,P0ACV0
P24205,P0ACV2
P0A9X1,P31548
P0A9X1,P36879
P0A9X1,P07821
P0A9X1,P30750
P0A9X1,P37009
P0A9X1,Q47538
P0A9X1,P77279
P0A9X1,P0A9T8
P0A9X1,P23878
P0A9X1,P0AAG3
P0A9X1,P10346
P0A9X1,P0AAF6
P0A9X1,P0AAI1
P0A9X1,P75957
P0A9X1,P0AAH8
P0A9X1,P77795
P0A9X1,P77622
P0A9X1,P77268
P0A9X1,P06611
P0A9X1,P76909
P0A9X1,P37774
P0A9X1,P33360
P0A9X1,P33931
P0A9X1,P07109
P0A9X1,P63386
P0A9X1,P0A9V1
P0A9X1,P45769
P0A9X1,P22731
P0A9X1,P0A9S7
P0A9X1,P0A9R7
P0A9X1,P33593
P0A9X1,P33594
P0A9X1,P0AAH0
P0A9X1,P16678
P0A9X1,P16677
P0A9X1,P15031
P0A8A0,P0A8A2
P21889,P0A8M0
P21889,P0A8N3
P21889,P0A8N5
P0ADI7,P75897
P46923,P18775
P46923,P33225
P46923,P77374
P46923,P77783
P46923,P20099
P46923,P07658
P52005,P33226
P07018,P02942
P07017,P02942
P0CF28,P0CF25
P0CF28,P0CF26
P0CF28,P0CF27
P0CF28,P57998
P0CF28,P0CF29
P0CF11,P0CF07
P0CF11,P0CF08
P0CF11,P0CF09
P0CF11,P0CF10
P0CF11,P0CF12
P0CF11,P19767
P46888,P0AAB8
P0AE26,P77672
P0AE26,P0AFS1
P0AE26,P23200
P0AE26,P77315
P0AE26,P0AGI4
P0AE26,P0AGI1
P0AE26,P32720
P0AE26,P39328
P0AE26,P37772
P0AAF3,P0A9U1
P0AAF3,P75796
P0AAF3,P43672
P0AAF3,P77257
P0AAF3,P0AAG8
P0AAF3,P33916
P0AAF3,P77509
P0AAF3,P37388
P0AAF3,P04983
P0AAF3,P32721
P0AAF3,Q6BEX0
P0AAF3,P0A9W3
P0A9A2,P0A998
P0A998,P0A9A2
P0AAD4,P0AAD2
P0AAD4,P23173
P0AED5,P0AEL8
P0AED5,P0AF28
P0AED5,P31802
P0AED5,P0DMC7
P0AED5,P0ACZ4
P0AED5,P0AGA6
P37774,P31548
P37774,P36879
P37774,P07821
P37774,P30750
P37774,P37009
P37774,Q47538
P37774,P77279
P37774,P0A9T8
P37774,P23878
P37774,P0AAG3
P37774,P10346
P37774,P31134
P37774,P0AAF6
P37774,P0AAI1
P37774,P75957
P37774,P76027
P37774,P77737
P37774,P0AAH8
P37774,P0AAH4
P37774,P77795
P37774,P77622
P37774,P77268
P37774,P76909
P37774,P0A9X1
P37774,P33360
P37774,P07109
P37774,P16676
P37774,P63386
P37774,P0A9V1
P37774,P45769
P37774,P22731
P37774,P0A9S7
P37774,P0A9R7
P37774,P33593
P37774,P33594
P37774,P37313
P37774,P0AAG0
P37774,P0AAH0
P37774,P16679
P37774,P16678
P37774,P16677
P37774,P15031
P0AFT2,P0AER5
P0AFT2,P0AER3
P0AFT2,P0AEQ6
P0AFT2,P0AE30
P0AFT2,P0AE34
P0AFT2,P0AEU3
P0AFT2,P52094
P0AEM9,P37902
P0AEM9,P0AEQ3
P0AEM9,P30860
P0AEM9,P30859
P0AEM9,P0AEU0
P0AEM9,P09551
P0AEM6,P13445
P52612,P0ABB4
P52612,P0ABB0
P0AA70,P31125
P0AA70,P31437
P0AA70,P0ABT8
P76339,P77485
P76339,P30847
P76339,P52101
P76339,P40719
P76339,P0AE82
P76339,P30844
P76340,P0AFJ5
P76340,P0ACZ8
P76340,P21866
P76340,P38684
P76340,P23836
P76340,P52108
P76340,P69228
P76340,P52076
P76340,P0AA16
P76340,P0AE88
P76340,P30843
P76340,P08368
P76340,P0A9Q1
P76345,P75925
P76345,P0ABE5
P76350,P77589
P76350,P38055
P76350,P76230
P76350,P0AEX3
P76350,Q46909
P76350,P41036
P76350,P37643
P76350,P0C0L7
P76350,P39352
P0A8A2,P0A8A0
P76352,P37340
P76352,P28303
Q47083,P27111
Q47083,P52696
Q47083,P0A9F3
Q47083,P77171
Q47083,P77309
Q47083,P77559
Q47083,Q47005
Q47083,P0ACR4
Q47083,P23841
Q47083,P0ACR7
Q47083,Q47141
Q47083,P33634
Q47083,P03030
Q47083,P05827
Q47083,P0A9F9
Q47083,P0ACQ4
Q47005,P0A9G2
Q47005,P27111
Q47005,P52696
Q47005,P0A9F3
Q47005,P77171
Q47005,P77309
Q47005,P77559
Q47005,Q47083
Q47005,P0ACR4
Q47005,P23841
Q47005,P0ACR7
Q47005,Q47141
Q47005,P33634
Q47005,P03030
Q47005,P0ACQ7
Q47005,P05827
Q47005,P0ACQ4
P39176,P0AAX8
P39176,P75954
P39176,P76193
P0CE53,P0CE49
P0CE53,P0CE50
P0CE53,P0CE51
P0CE53,P0CE52
P0CE53,P76071
P0CE53,P0CE54
P0CE53,P0CE55
P0CE53,P0CE56
P0CE53,P0CE57
P0CE53,P0CE58
P0CF55,P37007
P0CF55,P0CF53
P0CF55,P0CF54
P0CF55,P0CF56
P0CF55,P0CF57
P0CF55,P19769
P0CF55,P0CF58
P0CF42,P0CF40
P0CF42,P0CF41
P0CF42,P0CF43
P0CF42,P0CF44
P0CF42,P0CF45
P39180,P45508
P76362,Q47685
P76362,P52140
P64521,Q9XB42
P64521,P58033
P76364,Q47684
P76364,P52141
P64524,P77692
P64524,Q46953
P33013,P0AEB2
P33013,P08506
P33013,P0AFI5
P0AA47,P15993
P0AA47,Q47689
P0AA47,P0AAE2
P0AA47,P77400
P0AA47,P24207
P0AA47,P0AAF1
P0AA47,P76037
P0AA47,P77610
P0AA47,P25737
P0AA47,P25527
P0AA47,P45539
P0AA47,P27837
P0AA47,P60061
P0AA47,P0AAE8
P0AA47,P39277
P0AA47,P0AAE0
P76369,P77700
P76369,P0ACR0
P76369,P52696
P76369,P0ACR2
P76369,P67660
P10371,P60664
P60664,P10371
P76372,P26266
P76372,P0AG00
P76373,P27829
P0CE54,P0CE49
P0CE54,P0CE50
P0CE54,P0CE51
P0CE54,P0CE52
P0CE54,P76071
P0CE54,P0CE53
P0CE54,P0CE55
P0CE54,P0CE56
P0CE54,P0CE57
P0CE54,P0CE58
P37750,P07464
P37746,P77377
P37744,P0AEP3
P37744,P0AAB6
P37744,P61887
P37759,P09147
P37759,P0AC88
P37759,P27830
P0AAB6,P0AEP3
P0AAB6,P37744
P77377,P37746
P77377,P0AAA7
P24175,P31120
P0AC88,P37759
P0AC88,P27830
P0ACD2,P07464
P0ACD2,P77791
P76387,P38134
P0AAB2,P0ACZ2
P0A930,P0A932
P76389,P0AEC0
P76397,P0AE06
P76397,P75830
P76397,P24180
P76397,P37636
P76398,P31224
P76398,P38054
P76398,P76399
P76398,P24177
P76398,P24181
P76398,P37637
P76399,P31224
P76399,P38054
P76399,P76398
P76399,P24177
P76399,P24181
P76399,P37637
P36554,P76269
P36554,P52600
P36554,P0AEJ0
P36554,P0ADL1
P36554,P31474
P30847,P08400
P30847,P77485
P30847,P18392
P30847,P76339
P30847,P40719
P30847,P0AE82
P30847,P30844
P30847,P08401
P69228,P0AFJ5
P69228,P0ACZ8
P69228,P21866
P69228,P38684
P69228,P23836
P69228,P52108
P69228,P76340
P69228,P52076
P69228,P0AA16
P69228,P0AE88
P69228,P30843
P69228,P08368
P69228,P0A9Q1
P76403,P45527
P0CF70,P0CF66
P0CF70,P0CF67
P0CF70,P0CF68
P0CF70,P0CF69
P0CF83,P0CF79
P0CF83,P0CF80
P0CF83,P0CF81
P0CF83,P0CF82
P0CF83,P19769
P0A9S3,P75691
P0A9S3,P25437
P0A9S3,P77316
P0A9S3,P39451
P0A9S3,P38105
P0A9S3,P77280
P0A9S3,P77539
P0A9S3,P77360
P0A9S3,P07913
P0A9S3,P39346
P0A9S3,P39400
P37188,P58035
P0C8J8,P0C8K0
P0C8J6,P77704
P0C8J6,P0AB71
P0C8J6,P0AB74
P76417,P45562
P76417,Q47142
P76417,P0AFF4
P76419,P0A9J6
P0ACM5,P13669
P0ACM5,P45544
P0ACM5,P31453
P0ACM5,P16684
P64530,P0AAP3
P33341,P33129
P33341,P77468
P33341,P75750
P33341,P75857
P33341,P42915
P33341,P45420
P33341,P30130
P33342,P33128
P0AFT5,P0AE39
P0AD14,P0AA93
P33358,P75989
P33359,Q47539
P33359,P75851
P33360,P31548
P33360,P36879
P33360,P07821
P33360,P30750
P33360,P37009
P33360,Q47538
P33360,P77279
P33360,P0A9T8
P33360,P23878
P33360,P0AAG3
P33360,P10346
P33360,P31134
P33360,P0AAF6
P33360,P0AAI1
P33360,P75957
P33360,P69874
P33360,P76027
P33360,P77737
P33360,P0AAH8
P33360,P0AAH4
P33360,P77795
P33360,P77622
P33360,P77268
P33360,P06611
P33360,P76909
P33360,P0A9X1
P33360,P37774
P33360,P07109
P33360,P16676
P33360,P63386
P33360,P0A9V1
P33360,P45769
P33360,P10907
P33360,P22731
P33360,P0A9S7
P33360,P0A9R7
P33360,P33593
P33360,P33594
P33360,P37313
P33360,P0AAG0
P33360,P0AAH0
P33360,P68187
P33360,P16679
P33360,P16678
P33360,P16677
P33360,P15031
P0AFI5,P0AEB2
P0AFI5,P08506
P0AFI5,P33013
P33366,P0ABP6
P33366,P0AA60
P33366,P0AA63
P33368,P0AFP4
P33368,P15047
P33368,P0AEK2
P33368,P31808
P33368,P39831
P33368,P0AET8
P33368,P37440
P33368,P0CI31
P33368,P05707
P33368,P76633
P33368,P37769
P33368,P52037
P33368,P0AG84
P33368,P39333
P33368,P0A9P9
P33371,P0ABT5
P33371,P32695
P0AFY2,P42598
P76440,P37127
P76440,Q46820
P76440,P09832
P23200,P77672
P23200,P0AFS1
P23200,P0AE26
P23200,P77315
P23200,P0AGI4
P23200,P0AGI1
P23200,P32720
P23200,P39328
P23200,P37772
P0AAG8,P31060
P0AAG8,P0A9U1
P0AAG8,P75796
P0AAG8,P43672
P0AAG8,P77257
P0AAG8,P0AAF3
P0AAG8,P33916
P0AAG8,P77509
P0AAG8,P37388
P0AAG8,P04983
P0AAG8,P32721
P0AAG8,Q6BEX0
P0AAG8,P0A9W3
P0AEE5,P37387
P0AEE5,P02925
P0AEE5,P39265
P25748,P0ACP1
P25748,P03023
P25748,P77615
P25748,P18811
P25748,P0ACP7
P25748,P24242
P25748,P03024
P25748,P06846
P25748,P0ACP5
P25748,P0ACQ0
P25748,P0ACN7
P25748,P36673
P25748,P39343
P33018,P51025
P17315,P05825
P17315,P06129
P17315,P13036
P25737,P15993
P25737,Q47689
P25737,P0AAE2
P25737,P77400
P25737,P24207
P25737,P0AAF1
P25737,P76037
P25737,P77610
P25737,P0AAE5
P25737,P0AA47
P25737,P25527
P25737,P45539
P25737,P27837
P25737,P60061
P25737,P0AAE8
P25737,P0AAE0
P0ACR4,P30864
P0ACR4,P27111
P0ACR4,P52696
P0ACR4,P75836
P0ACR4,P0A9F3
P0ACR4,P77744
P0ACR4,P77171
P0ACR4,P77309
P0ACR4,P77559
P0ACR4,Q47083
P0ACR4,Q47005
P0ACR4,P36771
P0ACR4,P23841
P0ACR4,P0ACR7
P0ACR4,Q47141
P0ACR4,P33634
P0ACR4,P03030
P0ACR4,P0ACQ7
P0ACR4,P37641
P0ACR4,P05827
P0ACR4,P0A9F9
P0ACR4,P0ACQ4
P33020,P77493
P33020,P30235
P33020,P0A9J6
P33021,P33024
P33021,P0AFF2
P33022,P22564
P33022,P41409
P33024,P33021
P33024,P0AFF2
P30235,P33020
P30235,P0A9J6
P20966,P54745
P20966,P32154
P0AEW9,P06999
P33026,P31675
P33026,P31126
P33026,P31436
P0A6N8,P0A6N4
P33029,P0A6L7
P33029,P77260
P33029,P39160
P0AFV4,P23898
P76446,P76261
P33913,Q47622
P33913,P33590
P0AFU0,P75798
P0AFU0,P0AFH2
P0AFU0,P0AGH3
P0AFU0,P77308
P0AFU0,P33591
P0AFU0,P0AEF8
P33915,P75799
P33915,P0AFH6
P33915,P0AGH5
P33915,P77463
P33915,P0AFA9
P33915,P0AEG1
P33916,P31060
P33916,P0A9U1
P33916,P0A9U3
P33916,P75796
P33916,P43672
P33916,P77257
P33916,P0AAF3
P33916,P0AAG8
P33916,P77509
P33916,P63389
P33916,P37388
P33916,P04983
P33916,P32721
P33916,Q6BEX0
P33916,P0A9W3
P28246,P77726
P28246,P0AEY8
P28246,P25744
P28246,P31122
P28246,P37597
P28246,P0ADL1
P28246,P31442
P28246,P31462
P28246,P39352
P28246,P39386
P0AA43,P75966
P0AA43,P37765
P0AA43,P32684
P0CE55,P0CE49
P0CE55,P0CE50
P0CE55,P0CE51
P0CE55,P0CE52
P0CE55,P76071
P0CE55,P0CE53
P0CE55,P0CE54
P0CE55,P0CE56
P0CE55,P0CE57
P0CE55,P0CE58
P31802,P0AEL8
P31802,P0AF28
P31802,P0AED5
P31802,P0DMC7
P31802,P0ACZ4
P31802,P0AGA6
P33927,P32710
P33931,P31548
P33931,P07821
P33931,Q47538
P33931,P77279
P33931,P0A9T8
P33931,P23878
P33931,P0AAG3
P33931,P0AAI1
P33931,P75957
P33931,P0AAH8
P33931,P06611
P33931,P0A9X1
P33931,P07109
P33931,P0A9V1
P33931,P0A9R7
P33931,P16679
P33931,P16678
P33931,P16677
P33931,P15031
P33934,P52636
P0AAL3,P0AAL0
P33937,P18775
P33937,P33225
P33937,P77374
P33937,P77783
P33937,P07658
P0AAL0,P0AAL3
P33941,P23886
P06996,P02932
P06996,P02931
P06996,P77747
P0DMC7,P0AEL8
P0DMC7,P0AF28
P0DMC7,P0AED5
P0DMC7,P31802
P0DMC7,P0ACZ4
P0DMC7,P0AGA6
Q06065,P37344
Q06065,P0AFU4
Q06065,P37013
Q06065,P0AFB8
Q06065,P14375
P76461,P0C7L2
P76461,P76503
P76461,Q46939
P76461,P21151
P0AES4,P0AFI2
P45508,P76017
P45508,P39180
P00452,P39452
P69924,P37146
P08194,P76470
P08194,Q46916
P08194,P0AA78
P08194,P0AA80
P08194,P0AGC0
P08194,P09836
P08194,P0AA76
P08194,P39398
P0A9C0,P13035
P0A996,P52074
P37014,P31665
P37014,P77768
P37014,P31667
P76469,P23522
P76470,P77589
P76470,P08194
P76470,Q46916
P76470,P0AA78
P76470,P0AA80
P76470,P09836
P76470,P0AA76
P76470,P39398
P77215,P38104
P77215,Q6BF17
P77732,P77300
P77732,P0ACN4
P77732,P76268
P77732,P37671
P77732,P16528
P77732,P39360
P77690,P27833
P77757,P77293
P37353,P31552
P37353,P10378
P37353,P38135
P37353,P69451
P0ABU0,P31551
P0ABU0,P76082
P0ABU0,P77467
P0ABU0,P52045
P0AEH5,P64581
P0AFF0,P0AFE8
P0AFF0,P33607
P0AFF0,P77416
P0AFF0,P77437
P0AFE8,P0AFF0
P0AFE8,P33607
P0AFE8,P77416
P0AFE8,P77437
P0AFE8,P16429
P33607,P0AFF0
P33607,P0AFE8
P33607,P23482
P33607,P77416
P33607,P77437
P33607,P16429
P0AFD6,P77423
P0AFD4,P77858
P0AFD4,P16430
P33599,P77329
P33599,P16431
P36771,P52696
P36771,P0ACR4
P36771,P0ACR7
P36771,P0ACQ4
P0A959,P77806
P0A959,P23256
P0A959,P77434
P77625,P77366
P77625,P77247
P77625,P77475
P77625,P31467
P0A6A3,P11868
P77526,P0ACA7
P77526,Q46845
P0AC19,P0AC16
P77768,P31665
P77768,P37014
P77768,P31667
P07109,P31548
P07109,P36879
P07109,P07821
P07109,P30750
P07109,P37009
P07109,Q47538
P07109,P77279
P07109,P0A9T8
P07109,P23878
P07109,P0AAG3
P07109,P10346
P07109,P0AAF6
P07109,P0AAI1
P07109,P75957
P07109,P76027
P07109,P77737
P07109,P0AAH8
P07109,P0AAH4
P07109,P77795
P07109,P77622
P07109,P77268
P07109,P76909
P07109,P0A9X1
P07109,P37774
P07109,P33360
P07109,P33931
P07109,P16676
P07109,P63386
P07109,P0A9V1
P07109,P45769
P07109,P22731
P07109,P0A9S7
P07109,P0A9R7
P07109,P33593
P07109,P33594
P07109,P37313
P07109,P0AAG0
P07109,P0AAH0
P07109,P68187
P07109,P16679
P07109,P16678
P07109,P16677
P07109,P15031
P0AEU3,P0AER5
P0AEU3,P0AER3
P0AEU3,P0AEQ6
P0AEU3,P0AE30
P0AEU3,P0AE34
P0AEU3,P0AFT2
P0AEU3,P52094
P52094,P0AER5
P52094,P0AER3
P52094,P0AEQ6
P52094,P0AE30
P52094,P0AE34
P52094,P0AFT2
P52094,P0AEU3
P0AEU0,P37902
P0AEU0,P0AEQ3
P0AEU0,P30860
P0AEU0,P30859
P0AEU0,P0AEM9
P0AEU0,P09551
P09551,P37902
P09551,P0AEQ3
P09551,P30860
P09551,P30859
P09551,P0AEM9
P09551,P0AEU0
P0ABP6,P30149
P0ABP6,P33366
P0ABP6,P0AA60
P0ABP6,P0AA63
P08390,P0A9Q9
P05459,P0A9T0
P77549,P77726
P77549,P52067
P77549,P21503
P77549,P31122
P77549,P37621
P0A953,P0AAI5
P39199,P0ACC1
P76499,P08189
P76500,P76501
P76501,P76500
P77599,P33128
P77599,P77249
P77599,P75749
P77599,P75856
P77599,P40876
P77599,P42914
P77599,P31697
P77288,P39834
P77399,P21177
P76503,P0C7L2
P76503,P76461
P76503,Q46939
P76503,P21151
P0AD33,P32162
P37326,P76542
P37326,P32053
P77293,P77757
P46068,P30864
P46068,Q57083
P46068,P77333
P46068,P0A9F6
P46068,P45463
P46068,P0A9F9
P08555,Q46892
P08555,P39835
P08555,P0AC96
P08555,P39344
P08555,P39357
P08555,P0AC94
P52600,P76269
P52600,P36554
P52600,P0AEJ0
P52600,P31474
P52599,P75777
P52599,P76185
P52599,P27303
P52599,P46482
P52599,P37626
P52599,P32716
P0ACZ4,P0AEL8
P0ACZ4,P0AF28
P0ACZ4,P0AED5
P0ACZ4,P31802
P0ACZ4,P0DMC7
P0ACZ4,P0AGA6
P76518,P31572
P76518,P69902
P0AFI0,P00893
P0AFI0,P0AEP7
P0AFI0,P07003
P0AFI0,P08142
P69902,P31572
P69902,P76518
P0ACV2,P0ACV0
P0ACV2,P24205
P77434,P77806
P77434,P77730
P77434,P0A959
P77434,P39389
P0AA93,P0AD14
